Day,Place,run,Muslim,Instance
4,Rathedaung,5,8890,myanmar2017_demo
4,Rathedaung,6,9020,myanmar2017_demo
4,Rathedaung,7,8989,myanmar2017_demo
4,Rathedaung,8,8784,myanmar2017_demo
4,Rathedaung,9,9203,myanmar2017_demo
4,Rathedaung,10,8937,myanmar2017_demo
4,Sittwe,1,9935,myanmar2017_demo
4,Sittwe,2,10025,myanmar2017_demo
4,Sittwe,3,10068,myanmar2017_demo
4,Sittwe,4,10226,myanmar2017_demo
4,Sittwe,5,10100,myanmar2017_demo
4,Sittwe,6,9949,myanmar2017_demo
4,Sittwe,7,10265,myanmar2017_demo
4,Sittwe,8,10067,myanmar2017_demo
4,Sittwe,9,10155,myanmar2017_demo
4,Sittwe,10,10081,myanmar2017_demo
5,Cox's Bazar,1,79295,myanmar2017_demo
5,Cox's Bazar,2,78701,myanmar2017_demo
5,Cox's Bazar,3,79070,myanmar2017_demo
5,Cox's Bazar,4,79248,myanmar2017_demo
5,Cox's Bazar,5,79034,myanmar2017_demo
5,Cox's Bazar,6,78966,myanmar2017_demo
5,Cox's Bazar,7,78729,myanmar2017_demo
5,Cox's Bazar,8,79218,myanmar2017_demo
5,Cox's Bazar,9,78710,myanmar2017_demo
5,Cox's Bazar,10,78949,myanmar2017_demo
5,Kyaukpyu,1,208,myanmar2017_demo
5,Kyaukpyu,2,221,myanmar2017_demo
5,Kyaukpyu,3,204,myanmar2017_demo
5,Kyaukpyu,4,239,myanmar2017_demo
5,Kyaukpyu,5,224,myanmar2017_demo
5,Kyaukpyu,6,215,myanmar2017_demo
5,Kyaukpyu,7,204,myanmar2017_demo
5,Kyaukpyu,8,216,myanmar2017_demo
5,Kyaukpyu,9,212,myanmar2017_demo
5,Kyaukpyu,10,216,myanmar2017_demo
5,Kyauktaw,1,8287,myanmar2017_demo
5,Kyauktaw,2,8174,myanmar2017_demo
5,Kyauktaw,3,8004,myanmar2017_demo
5,Kyauktaw,4,7813,myanmar2017_demo
5,Kyauktaw,5,8115,myanmar2017_demo
5,Kyauktaw,6,8133,myanmar2017_demo
5,Kyauktaw,7,8131,myanmar2017_demo
5,Kyauktaw,8,8264,myanmar2017_demo
5,Kyauktaw,9,8150,myanmar2017_demo
5,Kyauktaw,10,8059,myanmar2017_demo
5,Maungdaw,1,1584,myanmar2017_demo
5,Maungdaw,2,1543,myanmar2017_demo
5,Maungdaw,3,1542,myanmar2017_demo
5,Maungdaw,4,1556,myanmar2017_demo
5,Maungdaw,5,1613,myanmar2017_demo
5,Maungdaw,6,1649,myanmar2017_demo
5,Maungdaw,7,1503,myanmar2017_demo
5,Maungdaw,8,1550,myanmar2017_demo
5,Maungdaw,9,1636,myanmar2017_demo
