Day,Place,Muslim,run,Instance
14,Cox's Bazar,96704,3,myanmar2017_demo
14,Kyaukpyu,144,3,myanmar2017_demo
14,Kyauktaw,17726,3,myanmar2017_demo
14,Maungdaw,3840,3,myanmar2017_demo
14,Myebon,10470,3,myanmar2017_demo
14,Paletwa,11539,3,myanmar2017_demo
14,Pauktaw,7837,3,myanmar2017_demo
14,Ramree,25533,3,myanmar2017_demo
14,Rathedaung,22037,3,myanmar2017_demo
14,Sittwe,13773,3,myanmar2017_demo
0,Buthidaung,1128,4,myanmar2017_demo
0,Cox's Bazar,70506,4,myanmar2017_demo
0,Kyaukpyu,300,4,myanmar2017_demo
0,Kyauktaw,1006,4,myanmar2017_demo
0,Maungdaw,1903,4,myanmar2017_demo
0,Myebon,3918,4,myanmar2017_demo
0,Paletwa,501,4,myanmar2017_demo
0,Pauktaw,2405,4,myanmar2017_demo
0,Ramree,172,4,myanmar2017_demo
0,Rathedaung,2633,4,myanmar2017_demo
0,Sittwe,13509,4,myanmar2017_demo
1,Buthidaung,2476,4,myanmar2017_demo
1,Cox's Bazar,72366,4,myanmar2017_demo
1,Kyaukpyu,285,4,myanmar2017_demo
1,Kyauktaw,2716,4,myanmar2017_demo
1,Maungdaw,1574,4,myanmar2017_demo
1,Myebon,6559,4,myanmar2017_demo
1,Paletwa,1511,4,myanmar2017_demo
1,Pauktaw,2401,4,myanmar2017_demo
1,Ramree,608,4,myanmar2017_demo
1,Rathedaung,4607,4,myanmar2017_demo
1,Sittwe,12249,4,myanmar2017_demo
2,Buthidaung,3357,4,myanmar2017_demo
2,Cox's Bazar,74048,4,myanmar2017_demo
2,Kyaukpyu,275,4,myanmar2017_demo
2,Kyauktaw,4180,4,myanmar2017_demo
2,Maungdaw,1376,4,myanmar2017_demo
2,Myebon,7007,4,myanmar2017_demo
2,Paletwa,2408,4,myanmar2017_demo
2,Pauktaw,2569,4,myanmar2017_demo
2,Ramree,1447,4,myanmar2017_demo
2,Rathedaung,6125,4,myanmar2017_demo
2,Sittwe,11395,4,myanmar2017_demo
3,Buthidaung,4300,4,myanmar2017_demo
3,Cox's Bazar,75843,4,myanmar2017_demo
3,Kyaukpyu,267,4,myanmar2017_demo
3,Kyauktaw,5423,4,myanmar2017_demo
3,Maungdaw,1426,4,myanmar2017_demo
3,Myebon,7300,4,myanmar2017_demo
3,Paletwa,3278,4,myanmar2017_demo
3,Pauktaw,2828,4,myanmar2017_demo
3,Ramree,2564,4,myanmar2017_demo
3,Rathedaung,7616,4,myanmar2017_demo
3,Sittwe,10666,4,myanmar2017_demo
4,Buthidaung,5030,4,myanmar2017_demo
4,Cox's Bazar,77539,4,myanmar2017_demo
4,Kyaukpyu,260,4,myanmar2017_demo
4,Kyauktaw,6675,4,myanmar2017_demo
4,Maungdaw,1474,4,myanmar2017_demo
4,Myebon,7602,4,myanmar2017_demo
4,Paletwa,4117,4,myanmar2017_demo
4,Pauktaw,3177,4,myanmar2017_demo
4,Ramree,3932,4,myanmar2017_demo
4,Rathedaung,8923,4,myanmar2017_demo
4,Sittwe,10226,4,myanmar2017_demo
5,Buthidaung,5733,4,myanmar2017_demo
5,Cox's Bazar,79248,4,myanmar2017_demo
5,Kyaukpyu,239,4,myanmar2017_demo
5,Kyauktaw,7813,4,myanmar2017_demo
5,Maungdaw,1556,4,myanmar2017_demo
5,Myebon,7807,4,myanmar2017_demo
5,Paletwa,4962,4,myanmar2017_demo
5,Pauktaw,3602,4,myanmar2017_demo
5,Ramree,5514,4,myanmar2017_demo
5,Rathedaung,10157,4,myanmar2017_demo
5,Sittwe,9900,4,myanmar2017_demo
6,Buthidaung,6484,4,myanmar2017_demo
6,Cox's Bazar,81032,4,myanmar2017_demo
6,Kyaukpyu,229,4,myanmar2017_demo
6,Kyauktaw,8968,4,myanmar2017_demo
6,Maungdaw,1808,4,myanmar2017_demo
6,Myebon,8079,4,myanmar2017_demo
6,Paletwa,5478,4,myanmar2017_demo
6,Pauktaw,4000,4,myanmar2017_demo
6,Ramree,7119,4,myanmar2017_demo
6,Rathedaung,11443,4,myanmar2017_demo
6,Sittwe,9680,4,myanmar2017_demo
7,Buthidaung,7113,4,myanmar2017_demo
7,Cox's Bazar,82764,4,myanmar2017_demo
7,Kyaukpyu,223,4,myanmar2017_demo
7,Kyauktaw,10122,4,myanmar2017_demo
7,Maungdaw,2007,4,myanmar2017_demo
7,Myebon,8274,4,myanmar2017_demo
7,Paletwa,6070,4,myanmar2017_demo
7,Pauktaw,4477,4,myanmar2017_demo
7,Ramree,8941,4,myanmar2017_demo
7,Rathedaung,12866,4,myanmar2017_demo
7,Sittwe,9762,4,myanmar2017_demo
8,Buthidaung,7494,4,myanmar2017_demo
8,Cox's Bazar,84678,4,myanmar2017_demo
8,Kyaukpyu,215,4,myanmar2017_demo
