Day,Place,Muslim,run
2,Cox's Bazar,73909,3
2,Kyaukpyu,233,3
2,Kyauktaw,4144,3
2,Maungdaw,1375,3
2,Myebon,6986,3
2,Paletwa,2492,3
2,Pauktaw,2537,3
2,Ramree,1491,3
2,Rathedaung,6074,3
2,Sittwe,11290,3
3,Buthidaung,3965,3
3,Cox's Bazar,75735,3
3,Kyaukpyu,222,3
3,Kyauktaw,5484,3
3,Maungdaw,1428,3
3,Myebon,7309,3
3,Paletwa,3358,3
3,Pauktaw,2810,3
3,Ramree,2613,3
3,Rathedaung,7501,3
3,Sittwe,10604,3
4,Buthidaung,4756,3
4,Cox's Bazar,77439,3
4,Kyaukpyu,211,3
4,Kyauktaw,6812,3
4,Maungdaw,1469,3
4,Myebon,7510,3
4,Paletwa,4228,3
4,Pauktaw,3121,3
4,Ramree,4028,3
4,Rathedaung,8736,3
4,Sittwe,10068,3
5,Buthidaung,5454,3
5,Cox's Bazar,79070,3
5,Kyaukpyu,204,3
5,Kyauktaw,8004,3
5,Maungdaw,1542,3
5,Myebon,7743,3
5,Paletwa,5136,3
5,Pauktaw,3534,3
5,Ramree,5541,3
5,Rathedaung,9903,3
5,Sittwe,9848,3
6,Buthidaung,6295,3
6,Cox's Bazar,80870,3
6,Kyaukpyu,199,3
6,Kyauktaw,9186,3
6,Maungdaw,1789,3
6,Myebon,8032,3
6,Paletwa,5649,3
6,Pauktaw,3939,3
6,Ramree,7117,3
6,Rathedaung,11207,3
6,Sittwe,9636,3
7,Buthidaung,6899,3
7,Cox's Bazar,82523,3
7,Kyaukpyu,188,3
7,Kyauktaw,10298,3
7,Maungdaw,2041,3
7,Myebon,8317,3
7,Paletwa,6244,3
7,Pauktaw,4359,3
7,Ramree,8863,3
7,Rathedaung,12546,3
7,Sittwe,9778,3
8,Buthidaung,7284,3
8,Cox's Bazar,84454,3
8,Kyaukpyu,179,3
8,Kyauktaw,11587,3
8,Maungdaw,2228,3
8,Myebon,8608,3
8,Paletwa,6859,3
8,Pauktaw,4785,3
8,Ramree,10805,3
8,Rathedaung,13849,3
8,Sittwe,10116,3
9,Buthidaung,7569,3
9,Cox's Bazar,86476,3
9,Kyaukpyu,175,3
9,Kyauktaw,12795,3
9,Maungdaw,2509,3
9,Myebon,8880,3
9,Paletwa,7510,3
9,Pauktaw,5203,3
9,Ramree,12942,3
9,Rathedaung,15134,3
9,Sittwe,10510,3
10,Buthidaung,7803,3
10,Cox's Bazar,88374,3
10,Kyaukpyu,170,3
10,Kyauktaw,13786,3
10,Maungdaw,2747,3
10,Myebon,9099,3
10,Paletwa,8072,3
10,Pauktaw,5774,3
10,Ramree,15178,3
10,Rathedaung,16422,3
10,Sittwe,11018,3
11,Buthidaung,8183,3
11,Cox's Bazar,90395,3
11,Kyaukpyu,161,3
11,Kyauktaw,14769,3
11,Maungdaw,2981,3
11,Myebon,9418,3
11,Paletwa,8710,3
11,Pauktaw,6204,3
11,Ramree,17659,3
11,Rathedaung,17669,3
11,Sittwe,11609,3
12,Buthidaung,8504,3
12,Cox's Bazar,92545,3
12,Kyaukpyu,157,3
12,Kyauktaw,15832,3
12,Maungdaw,3190,3
12,Myebon,9729,3
12,Paletwa,9426,3
12,Pauktaw,6663,3
12,Ramree,20216,3
12,Rathedaung,18722,3
12,Sittwe,12248,3
13,Buthidaung,9384,3
13,Cox's Bazar,94548,3
13,Kyaukpyu,150,3
13,Kyauktaw,16846,3
13,Maungdaw,3512,3
13,Myebon,10060,3
13,Paletwa,10331,3
13,Pauktaw,7169,3
13,Ramree,22854,3
13,Rathedaung,20171,3
13,Sittwe,12892,3
14,Buthidaung,9880,3
14,Cox's Bazar,96704,3
14,Kyaukpyu,144,3
14,Kyauktaw,17726,3
14,Maungdaw,3840,3
14,Myebon,10470,3
14,Paletwa,11539,3
14,Pauktaw,7837,3
14,Ramree,25533,3
14,Rathedaung,22037,3
14,Sittwe,13773,3
0,Buthidaung,1128,4
0,Cox's Bazar,70506,4
0,Kyaukpyu,300,4
0,Kyauktaw,1006,4
0,Maungdaw,1903,4
0,Myebon,3918,4
0,Paletwa,501,4
0,Pauktaw,2405,4
0,Ramree,172,4
0,Rathedaung,2633,4
0,Sittwe,13509,4
1,Buthidaung,2476,4
1,Cox's Bazar,72366,4
1,Kyaukpyu,285,4
1,Kyauktaw,2716,4
1,Maungdaw,1574,4
1,Myebon,6559,4
1,Paletwa,1511,4
1,Pauktaw,2401,4
1,Ramree,608,4
1,Rathedaung,4607,4
1,Sittwe,12249,4
2,Buthidaung,3357,4
2,Cox's Bazar,74048,4
2,Kyaukpyu,275,4
2,Kyauktaw,4180,4
2,Maungdaw,1376,4
2,Myebon,7007,4
2,Paletwa,2408,4
2,Pauktaw,2569,4
2,Ramree,1447,4
2,Rathedaung,6125,4
2,Sittwe,11395,4
3,Buthidaung,4300,4
3,Cox's Bazar,75843,4
3,Kyaukpyu,267,4
3,Kyauktaw,5423,4
3,Maungdaw,1426,4
3,Myebon,7300,4
3,Paletwa,3278,4
3,Pauktaw,2828,4
3,Ramree,2564,4
3,Rathedaung,7616,4
3,Sittwe,10666,4
4,Buthidaung,5030,4
4,Cox's Bazar,77539,4
4,Kyaukpyu,260,4
4,Kyauktaw,6675,4
4,Maungdaw,1474,4
4,Myebon,7602,4
4,Paletwa,4117,4
4,Pauktaw,3177,4
4,Ramree,3932,4
4,Rathedaung,8923,4
4,Sittwe,10226,4
5,Buthidaung,5733,4
5,Cox's Bazar,79248,4
5,Kyaukpyu,239,4
5,Kyauktaw,7813,4
5,Maungdaw,1556,4
5,Myebon,7807,4
5,Paletwa,4962,4
5,Pauktaw,3602,4
5,Ramree,5514,4
5,Rathedaung,10157,4
5,Sittwe,9900,4
6,Buthidaung,6484,4
6,Cox's Bazar,81032,4
6,Kyaukpyu,229,4
6,Kyauktaw,8968,4
6,Maungdaw,1808,4
6,Myebon,8079,4
6,Paletwa,5478,4
6,Pauktaw,4000,4
6,Ramree,7119,4
6,Rathedaung,11443,4
6,Sittwe,9680,4
7,Buthidaung,7113,4
7,Cox's Bazar,82764,4
7,Kyaukpyu,223,4
7,Kyauktaw,10122,4
7,Maungdaw,2007,4
7,Myebon,8274,4
7,Paletwa,6070,4
7,Pauktaw,4477,4
7,Ramree,8941,4
7,Rathedaung,12866,4
7,Sittwe,9762,4
8,Buthidaung,7494,4
8,Cox's Bazar,84678,4
8,Kyaukpyu,215,4
8,Kyauktaw,11348,4
8,Maungdaw,2268,4
8,Myebon,8493,4
8,Paletwa,6719,4
8,Pauktaw,4847,4
8,Ramree,10973,4
8,Rathedaung,14155,4
8,Sittwe,10076,4
9,Buthidaung,7847,4
9,Cox's Bazar,86645,4
9,Kyaukpyu,204,4
9,Kyauktaw,12450,4
9,Maungdaw,2515,4
9,Myebon,8745,4
9,Paletwa,7328,4
9,Pauktaw,5285,4
9,Ramree,13112,4
9,Rathedaung,15431,4
9,Sittwe,10530,4
10,Buthidaung,8156,4
10,Cox's Bazar,88713,4
10,Kyaukpyu,194,4
10,Kyauktaw,13537,4
10,Maungdaw,2738,4
10,Myebon,9049,4
10,Paletwa,8004,4
10,Pauktaw,5685,4
10,Ramree,15514,4
10,Rathedaung,16683,4
10,Sittwe,11059,4
11,Buthidaung,8496,4
11,Cox's Bazar,90728,4
11,Kyaukpyu,186,4
11,Kyauktaw,14593,4
11,Maungdaw,2965,4
11,Myebon,9405,4
11,Paletwa,8662,4
11,Pauktaw,6122,4
11,Ramree,17949,4
11,Rathedaung,17841,4
11,Sittwe,11581,4
12,Buthidaung,8781,4
12,Cox's Bazar,92795,4
12,Kyaukpyu,179,4
12,Kyauktaw,15573,4
12,Maungdaw,3194,4
12,Myebon,9722,4
12,Paletwa,9329,4
12,Pauktaw,6625,4
12,Ramree,20419,4
12,Rathedaung,19002,4
12,Sittwe,12203,4
13,Buthidaung,9615,4
13,Cox's Bazar,94879,4
13,Kyaukpyu,172,4
13,Kyauktaw,16503,4
13,Maungdaw,3556,4
13,Myebon,10025,4
13,Paletwa,10365,4
13,Pauktaw,7240,4
13,Ramree,22960,4
13,Rathedaung,20558,4
13,Sittwe,12792,4
14,Buthidaung,10017,4
14,Cox's Bazar,97101,4
14,Kyaukpyu,163,4
14,Kyauktaw,17413,4
14,Maungdaw,3927,4
14,Myebon,10372,4
14,Paletwa,11563,4
14,Pauktaw,7864,4
14,Ramree,25608,4
14,Rathedaung,22406,4
14,Sittwe,13785,4
0,Buthidaung,1098,5
0,Cox's Bazar,70582,5
0,Kyaukpyu,273,5
0,Kyauktaw,1000,5
0,Maungdaw,1986,5
0,Myebon,3891,5
0,Paletwa,453,5
0,Pauktaw,2361,5
0,Ramree,148,5
0,Rathedaung,2566,5
0,Sittwe,13498,5
1,Buthidaung,2394,5
1,Cox's Bazar,72367,5
1,Kyaukpyu,257,5
1,Kyauktaw,2672,5
1,Maungdaw,1675,5
1,Myebon,6462,5
1,Paletwa,1484,5
1,Pauktaw,2363,5
1,Ramree,587,5
1,Rathedaung,4548,5
1,Sittwe,12271,5
2,Buthidaung,3267,5
2,Cox's Bazar,74078,5
2,Kyaukpyu,250,5
2,Kyauktaw,4188,5
2,Maungdaw,1462,5
2,Myebon,6808,5
2,Paletwa,2387,5
2,Pauktaw,2542,5
2,Ramree,1435,5
2,Rathedaung,6226,5
2,Sittwe,11410,5
3,Buthidaung,4135,5
3,Cox's Bazar,75731,5
3,Kyaukpyu,237,5
3,Kyauktaw,5621,5
3,Maungdaw,1484,5
3,Myebon,7130,5
3,Paletwa,3227,5
3,Pauktaw,2757,5
3,Ramree,2533,5
3,Rathedaung,7656,5
3,Sittwe,10666,5
4,Buthidaung,4896,5
4,Cox's Bazar,77436,5
4,Kyaukpyu,230,5
4,Kyauktaw,6874,5
4,Maungdaw,1537,5
4,Myebon,7390,5
