Day,Place,Muslim,run
4,Kyauktaw,7041,4
4,Maungdaw,1477,4
4,Myebon,7544,4
4,Paletwa,4137,4
4,Pauktaw,3185,4
4,Ramree,4022,4
4,Rathedaung,8884,4
4,Sittwe,9977,4
5,Buthidaung,5414,4
5,Cox's Bazar,79027,4
5,Kyaukpyu,200,4
5,Kyauktaw,8219,4
5,Maungdaw,1567,4
5,Myebon,7712,4
5,Paletwa,4892,4
5,Pauktaw,3649,4
5,Ramree,5517,4
5,Rathedaung,10094,4
5,Sittwe,9628,4
6,Buthidaung,6223,4
6,Cox's Bazar,80822,4
6,Kyaukpyu,187,4
6,Kyauktaw,9343,4
6,Maungdaw,1819,4
6,Myebon,8035,4
6,Paletwa,5472,4
6,Pauktaw,4091,4
6,Ramree,7038,4
6,Rathedaung,11279,4
6,Sittwe,9495,4
7,Buthidaung,6840,4
7,Cox's Bazar,82459,4
7,Kyaukpyu,171,4
7,Kyauktaw,10613,4
7,Maungdaw,2077,4
7,Myebon,8313,4
7,Paletwa,6120,4
7,Pauktaw,4431,4
7,Ramree,8770,4
7,Rathedaung,12704,4
7,Sittwe,9619,4
8,Buthidaung,7191,4
8,Cox's Bazar,84426,4
8,Kyaukpyu,159,4
8,Kyauktaw,11652,4
8,Maungdaw,2291,4
8,Myebon,8503,4
8,Paletwa,6792,4
8,Pauktaw,4903,4
8,Ramree,10729,4
8,Rathedaung,14022,4
8,Sittwe,10068,4
9,Buthidaung,7528,4
9,Cox's Bazar,86504,4
9,Kyaukpyu,151,4
9,Kyauktaw,12781,4
9,Maungdaw,2493,4
9,Myebon,8711,4
9,Paletwa,7415,4
9,Pauktaw,5288,4
9,Ramree,12927,4
9,Rathedaung,15245,4
9,Sittwe,10515,4
10,Buthidaung,7810,4
10,Cox's Bazar,88510,4
10,Kyaukpyu,143,4
10,Kyauktaw,13853,4
10,Maungdaw,2749,4
10,Myebon,9009,4
10,Paletwa,8075,4
10,Pauktaw,5727,4
10,Ramree,15286,4
10,Rathedaung,16471,4
10,Sittwe,10971,4
11,Buthidaung,8123,4
11,Cox's Bazar,90588,4
11,Kyaukpyu,140,4
